"Property ID","Property Type","Listing Type","Bedrooms","Reporting Month","Occupancy Rate","Active Listing Nights","Currency","Revenue (USD)","Revenue Potential (USD)","ADR (USD)","Cleaning Fee Total (USD)","Number of Reservations","Reservation Days","Available Days","Blocked Days","Country","State","City","Postal Code","Neighborhood","Metropolitan Statistical Area","Latitude","Longitude","Active","Scraped During Month","Airbnb Property ID","Airbnb Host ID","Vrbo Property ID","Vrbo Host ID","Property Manager","Revenue (Native)","ADR (Native)","Revenue Potential (Native)","Cleaning Fee Total (Native)"
"abnb_1258346518249004997","Guest house","Private room","1","8/1/2025","0.096774","31","usd","119","119","39.67","24","3","3","28","0","Mexico","Yucatan","Merida","","Merida Centro Sud","","20.9694280409","-89.6331569436","True","True","1258346518249004997","392031123","","","","2215.3","738.43","2230.42","447"
"abnb_1258719290907943514","Apartment","Entire home/apt","2","8/1/2025","0.903226","31","usd","1502","1502","53.64","0","7","28","3","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.9761684","-89.6184102","True","True","1258719290907943514","576906012","","","","28287.43","1010.27","28152.06","0"
"abnb_1258733727944158152","Apartment","Private room","0","8/1/2025","0.105263","19","usd","148","148","74","18","1","2","29","0","Mexico","Yucatan","Merida","","Merida Centro Sud","","20.9705382882","-89.6362569084","True","True","1258733727944158152","10255531","","","","2781.54","1390.77","2773.97","356"
"abnb_1258741363619429041","Apartment","Private room","0","8/1/2025","0.419355","31","usd","1259","1259","96.85","89","5","13","18","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.9714446014","-89.6378244896","True","True","1258741363619429041","10255531","","","","23702.28","1823.25","23597.5","1775"
"abnb_1258744001576111089","Apartment","Private room","0","8/1/2025","0.15","20","usd","183","183","61","18","1","3","28","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.9717017739","-89.6384260789","True","True","1258744001576111089","10255531","","","","3452.28","1150.76","3429.98","354"
"abnb_1258746272074565086","Apartment","Private room","0","8/1/2025","0.322581","31","usd","919","919","91.9","65","4","10","21","0","Mexico","Yucatan","Merida","","Merida Centro Sud","","20.9700134608","-89.6380393164","True","True","1258746272074565086","10255531","","","","17348.57","1734.86","17224.86","1335"
"abnb_16701293","Apartment","Entire home/apt","1","8/1/2025","1","31","usd","775","775","25","0","2","31","0","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.97769","-89.62127","True","True","16701293","53053819","","","","14668.89","473.19","14525.86","248"
"abnb_1417850137616893892","Guest house","Private room","1","8/1/2025","0.806452","31","usd","1024","1024","40.96","155","13","25","6","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.9710286029","-89.6314138007","True","True","1417850137616893892","392031123","","","","19226.12","769.04","19192.88","3027"
"abnb_1418897415996916980","Apartment","Entire home/apt","2","8/1/2025","0.677419","31","usd","1386","1386","66","49","3","21","10","0","Mexico","Yucatan","Merida","","","","21.0356854365","-89.5908814126","True","True","1418897415996916980","694923081","","","","26169.5","1246.17","25977.87","1211"
"abnb_1419278747025616477","House","Entire home/apt","2","8/1/2025","0.7","30","usd","1420","1467.33","67.62","108","7","21","9","1","Mexico","Yucatan","Merida","","Merida Oeste","","21.0099485767","-89.6335200137","True","True","1419278747025616477","100660176","","","","26652.55","1269.17","27502.31","2080"
"abnb_1419351991446884144","Apartment","Private room","0","8/1/2025","0","24","usd","0","0","0","0","0","0","31","0","Mexico","Yucatan","Merida","","97314","","20.9912429356","-89.6910749003","True","True","1419351991446884144","695036176","","","","0","0","0","0"
"abnb_23447963","House","Entire home/apt","1","8/1/2025","0","0","usd","0","0","0","0","0","0","31","0","Mexico","Yucatan","Merida","","Merida Este","","20.96907","-89.59471","True","True","23447963","84019035","","","","0","0","0","0"
"abnb_23460985","House","Entire home/apt","9","8/1/2025","0.444444","27","usd","4628","5313.63","385.67","265","5","12","15","4","Mexico","Yucatan","Merida","","Merida Nord-Oeste Zona 1","","21.0286750793","-89.6354827881","True","True","23460985","40528423","","","","86733.66","7227.81","99593.72","4960"
"abnb_28031643","House","Private room","1","8/1/2025","0","27","usd","0","0","0","0","0","0","31","0","Mexico","Yucatan","Merida","","Merida Norte Zona 1","","21.01843","-89.62328","True","True","28031643","148869970","","","","0","0","0","0"
"abnb_28032652","House","Entire home/apt","2","8/1/2025","0.375","8","usd","269","941.52","89.67","18","1","3","8","20","Mexico","Yucatan","Merida","","","","21.00278","-89.55849","True","True","28032652","177183571","","","","5070.38","1690.13","17647.05","354"
"abnb_32959487","Guest suite","Entire home/apt","1","8/1/2025","0.967742","31","usd","540","540","18","0","1","30","1","0","Mexico","Yucatan","Merida","","Merida Nord-Este Zona 1","","21.02659","-89.58959","True","True","32959487","246259732","","","","10035.6","334.52","10121.25","0"
"abnb_33092759","House","Entire home/apt","2","8/1/2025","0.677419","31","usd","1418","1418","67.52","69","10","21","10","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.975524","-89.624174","True","True","33092759","148601214","","","Host / MarÃ­a","26586.31","1266.01","26577.64","1384"
"abnb_3309511","House","Entire home/apt","2","8/1/2025","0.935484","31","usd","2249","2249","77.55","325","9","29","2","0","Mexico","Yucatan","Merida","","Merida Este","","20.96417","-89.6068","True","True","3309511","16710983","","","","42187.43","1454.74","42153.12","6231"
"abnb_50053926","Apartment","Entire home/apt","2","8/1/2025","0.307692","26","usd","433","433","54.13","32","1","8","23","0","Mexico","Yucatan","Merida","","Merida Nord-Este Zona 1","","21.03191","-89.58871","True","True","50053926","180345472","","","","8272.02","1034","8115.74","712"
"abnb_50054045","Serviced apartment","Entire home/apt","2","8/1/2025","0.387097","31","usd","708","708","59","162","5","12","19","0","Mexico","Yucatan","Merida","","Merida Nord-Este Zona 1","","21.03142","-89.58711","True","True","50054045","180345472","","","","13369.78","1114.15","13270.08","3081"
"abnb_50054375","Guest suite","Entire home/apt","1","8/1/2025","0.333333","24","usd","432","450","54","24","1","8","22","1","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.97285","-89.61789","True","True","50054375","229738044","","","","8173.28","1021.66","8434.37","464"
"abnb_500643","House","Entire home/apt","3","8/1/2025","0","20","usd","0","16.45","0","0","0","0","30","1","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.97488","-89.62484","True","True","500643","2470258","252916","","","0","0","308.35","0"
"abnb_50068730","Serviced apartment","Entire home/apt","2","8/1/2025","0","0","usd","0","27.11","0","0","0","0","25","6","Mexico","Yucatan","Merida","","Merida Nord-Este Zona 1","","21.03252","-89.59046","True","True","50068730","180345472","","","","0","0","508.07","0"
