"Property ID","Property Type","Listing Type","Bedrooms","Reporting Month","Occupancy Rate","Active Listing Nights","Currency","Revenue (USD)","Revenue Potential (USD)","ADR (USD)","Cleaning Fee Total (USD)","Number of Reservations","Reservation Days","Available Days","Blocked Days","Country","State","City","Postal Code","Neighborhood","Metropolitan Statistical Area","Latitude","Longitude","Active","Scraped During Month","Airbnb Property ID","Airbnb Host ID","Vrbo Property ID","Vrbo Host ID","Property Manager","Revenue (Native)","ADR (Native)","Revenue Potential (Native)","Cleaning Fee Total (Native)"
"vrbo_7440247ha","House","Entire home/apt","1","5/1/2025","0","0","usd","0","0","0","0","0","0","31","0","Mexico","Yucatan","Merida","","Merida Centro Sud","","20.957235","-89.624637","True","True","","","7440247ha","","","0","0","0","0"
"vrbo_7454194ha","Apartment","Entire home/apt","0","5/1/2025","0","0","usd","0","0","0","0","0","0","31","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.996151","-89.605294","True","True","","","7454194ha","","","0","0","0","0"
"vrbo_7455962ha","House","Entire home/apt","4","5/1/2025","0","0","usd","0","0","0","0","0","0","31","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.972513","-89.617721","True","True","","","7455962ha","","","0","0","0","0"
"vrbo_9836605ha","House","Entire home/apt","3","5/1/2025","0","0","usd","0","0","0","0","0","0","31","0","Mexico","Yucatan","Merida","","Merida Centro Norte","","20.97754","-89.619234","True","True","","","9836605ha","","","0","0","0","0"
"abnb_1379143328770913773","Hotel","Private room","1","5/1/2025","0.096774","31","usd","522","522","174","0","1","3","28","0","Mexico","Yucatan","Merida","","Merida Centro Sud","","20.9671263","-89.6206077","True","True","1.37914E+18","345894571","","","","10148.79","3382.93","10170.41","0"
"abnb_1379151491411950645","Hotel","Private room","1","5/1/2025","0.096774","31","usd","716","716","238.67","0","2","3","28","0","Mexico","Yucatan","Merida","","Merida Centro Sud","","20.9671263","-89.6206077","True","True","1.37915E+18","345894571","","","","13947.5","4649.17","13950.22","0"
"abnb_1379164235489265278","Hotel","Private room","1","5/1/2025","0.354839","31","usd","2814","2814","255.82","0","4","11","20","0","Mexico","Yucatan","Merida","","Merida Centro Sud","","20.96659","-89.61958","True","True","1.37916E+18","345894571","","","","54863.92","4987.63","54826.71","0"
"abnb_1379175642474518501","Hotel","Private room","1","5/1/2025","0","9","usd","0","0","0","0","0","0","31","0","Mexico","Yucatan","Merida","","Merida Centro Sud","","20.9671263","-89.6206077","True","True","1.37918E+18","345894571","","","","0","0","0","0"
"abnb_1379189333331122656","Apartment","Entire home/apt","3","5/1/2025","0.258065","31","usd","1084","1084","135.5","78","2","8","23","0","Mexico","Yucatan","Merida","","Merida Nord-Oeste Zona 1","","21.04586533","-89.63453145","True","True","1.37919E+18","156396737","","","","21140.2","2642.53","21120.17","1574"
"abnb_1379205224952158726","Loft","Private room","1","5/1/2025","0.333333","30","usd","253","261.43","25.3","36","3","10","20","1","Mexico","Yucatan","Merida","","97314","","20.99694381","-89.68965566","True","True","1.37921E+18","378684545","","","","5023.42","502.34","5093.65","756"
"abnb_1379322605392376873","House","Entire home/apt","2","5/1/2025","0.6","30","usd","936","967.2","52","110","5","18","12","1","Mexico","Yucatan","Merida","","Merida Nord-Oeste Zona 1","","21.04536021","-89.64502841","True","True","1.37932E+18","77947642","","","","18347.73","1019.32","18844.49","2210"
"abnb_1379401793780933024","Townhouse","Private room","1","5/1/2025","0","0","usd","0","0","0","0","0","0","31","0","Mexico","Yucatan","Merida","","Merida Este","","20.96288603","-89.59613074","True","True","1.3794E+18","679035383","","","","0","0","0","0"
"abnb_1379649875533132471","Apartment","Entire home/apt","1","5/1/2025","0.483871","31","usd","287","287","19.13","30","6","15","16","0","Mexico","Yucatan","Merida","","Merida Nord-Este Zona 1","","21.00902044","-89.57600159","True","True","1.37965E+18","129185455","","","","5729.88","381.99","5591.78","705"
"abnb_1379771091261987230","Bed & Breakfast","Private room","0","5/1/2025","0.451613","31","usd","557","557","39.79","0","7","14","17","0","Mexico","Yucatan","Merida","","Merida Centro Sud","","20.9641746","-89.6236794","True","True","1.37977E+18","365836987","","","","10791.38","770.81","10852.34","0"
